id,time,name,value
1,2020-04-17 01:00:06.390247,LSM9DS1 X-Accelerometer,-0.066
2,2020-04-17 01:00:06.390247,LSM9DS1 Y-Accelerometer,-0.619
3,2020-04-17 01:00:06.390247,LSM9DS1 Z-Accelerometer,9.56
4,2020-04-17 01:00:06.390247,LSM9DS1 X-Magnetometer,0.37
5,2020-04-17 01:00:06.390247,LSM9DS1 Y-Magnetometer,0.543
6,2020-04-17 01:00:06.390247,LSM9DS1 Z-Magnetometer,-0.266
7,2020-04-17 01:00:06.390247,LSM9DS1 X-Gyroscope,-0.131
8,2020-04-17 01:00:06.390247,LSM9DS1 Y-Gyroscope,-0.446
9,2020-04-17 01:00:06.390247,LSM9DS1 Z-Gyroscope,1.776
10,2020-04-17 01:00:06.390247,LSM9DS1 Temperature,6.5
11,2020-04-17 01:00:06.390247,LSM9DS1 X-Accelerometer Average,-0.0530190114068441
12,2020-04-17 01:00:06.390247,LSM9DS1 Y-Accelerometer Average,-0.595110266159696
13,2020-04-17 01:00:06.390247,LSM9DS1 Z-Accelerometer Average,9.577885931558935
14,2020-04-17 01:00:10.893244,LSM9DS1 X-Accelerometer,-0.056
15,2020-04-17 01:00:10.893244,LSM9DS1 Y-Accelerometer,-0.582
16,2020-04-17 01:00:10.893244,LSM9DS1 Z-Accelerometer,9.533
17,2020-04-17 01:00:10.893244,LSM9DS1 X-Magnetometer,0.376
18,2020-04-17 01:00:10.893244,LSM9DS1 Y-Magnetometer,0.542
19,2020-04-17 01:00:10.893244,LSM9DS1 Z-Magnetometer,-0.249
20,2020-04-17 01:00:10.893244,LSM9DS1 X-Gyroscope,-0.245
21,2020-04-17 01:00:10.893244,LSM9DS1 Y-Gyroscope,-0.726
22,2020-04-17 01:00:10.893244,LSM9DS1 Z-Gyroscope,1.864
23,2020-04-17 01:00:10.893244,LSM9DS1 Temperature,6.5
24,2020-04-17 01:00:10.893244,LSM9DS1 X-Accelerometer Average,-0.05130817610062894
25,2020-04-17 01:00:10.893244,LSM9DS1 Y-Accelerometer Average,-0.5901320754716978
26,2020-04-17 01:00:10.893244,LSM9DS1 Z-Accelerometer Average,9.580327044025159
27,2020-04-17 01:00:12.261134,LSM9DS1 X-Accelerometer,-0.015
28,2020-04-17 01:00:12.261134,LSM9DS1 Y-Accelerometer,-0.591
29,2020-04-17 01:00:12.261134,LSM9DS1 Z-Accelerometer,9.614
30,2020-04-17 01:00:12.261134,LSM9DS1 X-Magnetometer,0.375
31,2020-04-17 01:00:12.261134,LSM9DS1 Y-Magnetometer,0.543
32,2020-04-17 01:00:12.261134,LSM9DS1 Z-Magnetometer,-0.258
33,2020-04-17 01:00:12.261134,LSM9DS1 X-Gyroscope,-0.324
34,2020-04-17 01:00:12.261134,LSM9DS1 Y-Gyroscope,-0.49
35,2020-04-17 01:00:12.261134,LSM9DS1 Z-Gyroscope,1.794
36,2020-04-17 01:00:12.261134,LSM9DS1 Temperature,6.5
37,2020-04-17 01:00:12.261134,LSM9DS1 X-Accelerometer Average,-0.05219496855345909
38,2020-04-17 01:00:12.261134,LSM9DS1 Y-Accelerometer Average,-0.5953962264150942
39,2020-04-17 01:00:12.261134,LSM9DS1 Z-Accelerometer Average,9.581301886792454
40,2020-04-17 01:00:13.624784,LSM9DS1 X-Accelerometer,-0.078
41,2020-04-17 01:00:13.624784,LSM9DS1 Y-Accelerometer,-0.6
42,2020-04-17 01:00:13.624784,LSM9DS1 Z-Accelerometer,9.564
43,2020-04-17 01:00:13.624784,LSM9DS1 X-Magnetometer,0.378
44,2020-04-17 01:00:13.624784,LSM9DS1 Y-Magnetometer,0.545
45,2020-04-17 01:00:13.624784,LSM9DS1 Z-Magnetometer,-0.243
46,2020-04-17 01:00:13.624784,LSM9DS1 X-Gyroscope,-0.175
47,2020-04-17 01:00:13.624784,LSM9DS1 Y-Gyroscope,-0.464
48,2020-04-17 01:00:13.624784,LSM9DS1 Z-Gyroscope,1.706
49,2020-04-17 01:00:13.624784,LSM9DS1 Temperature,6.5
50,2020-04-17 01:00:13.624784,LSM9DS1 X-Accelerometer Average,-0.05425949367088605
51,2020-04-17 01:00:13.624784,LSM9DS1 Y-Accelerometer Average,-0.5909999999999996
52,2020-04-17 01:00:13.624784,LSM9DS1 Z-Accelerometer Average,9.578974683544299
53,2020-04-17 01:00:14.995194,LSM9DS1 X-Accelerometer,-0.074
54,2020-04-17 01:00:14.995194,LSM9DS1 Y-Accelerometer,-0.567
55,2020-04-17 01:00:14.995194,LSM9DS1 Z-Accelerometer,9.541
56,2020-04-17 01:00:14.995194,LSM9DS1 X-Magnetometer,0.375
